timestamp,region,service_line,resource_demand,capacity_planned,operational_spend_usd,reliability_score,gdp_growth_rate,tech_investment_index,cloud_sentiment_score,year,month,day
2024-01-01,East US,Compute,644.69,818,361.03,99.804,2.06,121.92,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-01,East US,Storage,1102.71,1400,154.38,99.571,2.06,121.92,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-01,West Europe,Compute,597.55,758,334.63,99.727,2.08,120.1,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-01,West Europe,Storage,979.71,1244,137.16,99.887,2.08,120.1,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-01,Central India,Compute,503.19,639,281.79,99.756,1.86,122.04,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-01,Central India,Storage,830.32,1054,116.25,99.563,1.86,122.04,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-02,East US,Compute,643.13,816,360.16,99.51,2.12,121.61,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-02,East US,Storage,1126.46,1430,157.7,99.707,2.12,121.61,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-02,West Europe,Compute,589.86,749,330.32,99.888,2.08,122.91,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-02,West Europe,Storage,958.53,1217,134.19,99.638,2.08,122.91,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-02,Central India,Compute,511.29,649,286.32,99.89,1.99,124.22,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-02,Central India,Storage,822.49,1044,115.15,99.944,1.99,124.22,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-03,East US,Compute,658.21,835,368.6,99.91,1.89,119.12,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-03,East US,Storage,1129.05,1433,158.07,99.563,1.89,119.12,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-03,West Europe,Compute,576.44,732,322.81,99.802,2.12,119.49,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-03,West Europe,Storage,994.82,1263,139.27,99.646,2.12,119.49,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-03,Central India,Compute,490.43,622,274.64,99.695,2.14,119.33,1970-01-01 00:00:00.000000068,1970,1,1
2024-01-03,Central India,Storage,844.8,1072,118.27,99.809,2.14,119.33,1970-01-01 00:00:00.000000068,1970,1,1
2024-01-04,East US,Compute,659.53,837,369.34,99.96,2.1,121.49,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-04,East US,Storage,1115.29,1416,156.14,99.568,2.1,121.49,1970-01-01 00:00:00.000000065,1970,1,1
2024-01-04,West Europe,Compute,577.62,733,323.46,99.43,2.03,123.43,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-04,West Europe,Storage,991.2,1258,138.77,99.766,2.03,123.43,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-04,Central India,Compute,503.82,639,282.14,99.787,2.23,123.21,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-04,Central India,Storage,825.39,1048,115.55,99.789,2.23,123.21,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-05,East US,Compute,656.47,833,367.62,99.559,2.06,122.99,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-05,East US,Storage,1109.72,1409,155.36,99.81,2.06,122.99,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-05,West Europe,Compute,574.81,730,321.89,99.405,2.05,124.35,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-05,West Europe,Storage,993.37,1261,139.07,99.428,2.05,124.35,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-05,Central India,Compute,483.72,614,270.89,99.623,2.21,118.98,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-05,Central India,Storage,835.23,1060,116.93,99.65,2.21,118.98,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-06,East US,Compute,686.58,871,384.48,99.81,2.22,122.69,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-06,East US,Storage,1110.67,1410,155.49,99.698,2.22,122.69,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-06,West Europe,Compute,563.81,716,315.73,99.476,2.09,121.67,1970-01-01 00:00:00.000000069,1970,1,1
2024-01-06,West Europe,Storage,959.21,1218,134.29,99.517,2.09,121.67,1970-01-01 00:00:00.000000069,1970,1,1
2024-01-06,Central India,Compute,487.22,618,272.84,99.749,2.06,120.74,1970-01-01 00:00:00.000000069,1970,1,1
2024-01-06,Central India,Storage,841.15,1068,117.76,99.835,2.06,120.74,1970-01-01 00:00:00.000000069,1970,1,1
2024-01-07,East US,Compute,685.97,871,384.14,99.482,1.95,123.44,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-07,East US,Storage,1150.1,1460,161.01,99.767,1.95,123.44,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-07,West Europe,Compute,562.96,714,315.26,99.541,2.09,119.56,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-07,West Europe,Storage,966.7,1227,135.34,99.63,2.09,119.56,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-07,Central India,Compute,482.82,613,270.38,99.521,2.11,120.67,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-07,Central India,Storage,815.0,1035,114.1,99.414,2.11,120.67,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-08,East US,Compute,667.34,847,373.71,99.465,2.07,121.87,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-08,East US,Storage,1097.81,1394,153.69,99.896,2.07,121.87,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-08,West Europe,Compute,811.3499999999999,750,331.03,99.557,2.18,125.515,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-08,West Europe,Storage,996.68,1265,139.53,99.861,2.12,120.32,1970-01-01 00:00:00.000000067,1970,1,1
2024-01-08,Central India,Compute,479.14,608,268.32,99.86,2.14,123.49,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-08,Central India,Storage,858.55,1090,120.2,99.59,2.14,123.49,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-09,East US,Compute,677.14,859,379.2,99.986,2.06,119.81,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-09,East US,Storage,1126.17,1430,157.66,99.534,2.06,119.81,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-09,West Europe,Compute,594.34,754,332.83,99.556,1.87,121.96,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-09,West Europe,Storage,963.66,1223,134.91,99.945,1.87,121.96,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-09,Central India,Compute,492.74,625,275.94,99.585,1.85,120.31,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-09,Central India,Storage,832.57,1057,116.56,99.917,1.85,120.31,1970-01-01 00:00:00.000000066,1970,1,1
2024-01-10,East US,Compute,653.08,829,365.73,99.778,1.97,122.16,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-10,East US,Storage,1093.37,1388,153.07,99.915,1.97,122.16,1970-01-01 00:00:00.000000060,1970,1,1
2024-01-10,West Europe,Compute,575.68,731,322.38,99.59,2.21,122.64,1970-01-01 00:00:00.000000069,1970,1,1
2024-01-10,West Europe,Storage,966.68,1227,135.34,99.509,2.21,122.64,1970-01-01 00:00:00.000000069,1970,1,1
2024-01-10,Central India,Compute,478.37,607,267.89,99.474,1.94,118.51,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-10,Central India,Storage,814.17,1033,113.98,99.941,1.94,118.51,1970-01-01 00:00:00.000000062,1970,1,1
2024-01-11,East US,Compute,666.13,845,373.03,99.805,2.09,121.23,1970-01-01 00:00:00.000000063,1970,1,1
2024-01-11,East US,Storage,1122.53,1425,157.15,99.959,2.09,121.23,1970-01-01 00:00:00.000000063,1970,1,1
