region,service_line,resource_demand,capacity_planned,operational_spend_usd,reliability_score,gdp_growth_rate,tech_investment_index,cloud_sentiment_score,year,month,day,rolling_mean_7,rolling_std_7,lag_1,lag_7,lag_14,day_of_week,is_weekend,quarter,demand_spike_flag
East US,Compute,644.69,818,361.03,99.804,2.06,121.92,1970-01-01 00:00:00.000000060,1970,1,1,,,,,,0,0,1,0
East US,Storage,1102.71,1400,154.38,99.571,2.06,121.92,1970-01-01 00:00:00.000000060,1970,1,1,,,644.69,,,0,0,1,0
West Europe,Compute,597.55,758,334.63,99.727,2.08,120.1,1970-01-01 00:00:00.000000067,1970,1,1,,,1102.71,,,0,0,1,0
West Europe,Storage,979.71,1244,137.16,99.887,2.08,120.1,1970-01-01 00:00:00.000000067,1970,1,1,,,597.55,,,0,0,1,0
Central India,Compute,503.19,639,281.79,99.756,1.86,122.04,1970-01-01 00:00:00.000000065,1970,1,1,,,979.71,,,0,0,1,0
Central India,Storage,830.32,1054,116.25,99.563,1.86,122.04,1970-01-01 00:00:00.000000065,1970,1,1,,,503.19,,,0,0,1,0
East US,Compute,643.13,816,360.16,99.51,2.12,121.61,1970-01-01 00:00:00.000000060,1970,1,1,757.3285714285714,219.81581171733842,830.32,,,1,0,1,0
East US,Storage,1126.46,1430,157.7,99.707,2.12,121.61,1970-01-01 00:00:00.000000060,1970,1,1,826.1528571428572,251.76941637897468,643.13,644.69,,1,0,1,1
West Europe,Compute,589.86,749,330.32,99.888,2.08,122.91,1970-01-01 00:00:00.000000065,1970,1,1,752.8885714285715,231.69804569946717,1126.46,1102.71,,1,0,1,0
West Europe,Storage,958.53,1217,134.19,99.638,2.08,122.91,1970-01-01 00:00:00.000000065,1970,1,1,804.4571428571429,231.5336580078071,589.86,597.55,,1,0,1,0
Central India,Compute,511.29,649,286.32,99.89,1.99,124.22,1970-01-01 00:00:00.000000063,1970,1,1,737.5400000000001,239.97746088608682,958.53,979.71,,1,0,1,0
Central India,Storage,822.49,1044,115.15,99.944,1.99,124.22,1970-01-01 00:00:00.000000063,1970,1,1,783.1542857142857,217.28131879026802,511.29,503.19,,1,0,1,0
West Europe,Compute,576.44,732,322.81,99.802,2.12,119.49,1970-01-01 00:00:00.000000067,1970,1,1,746.8857142857144,228.97065145684374,822.49,830.32,,2,0,1,0
East US,Compute,658.21,835,368.6,99.91,1.89,119.12,1970-01-01 00:00:00.000000067,1970,1,1,749.0400000000001,227.90019847877855,576.44,643.13,,2,0,1,0
East US,Storage,1129.05,1433,158.07,99.563,1.89,119.12,1970-01-01 00:00:00.000000067,1970,1,1,749.41,228.61604937828253,658.21,1126.46,644.69,2,0,1,1
Central India,Compute,490.43,622,274.64,99.695,2.14,119.33,1970-01-01 00:00:00.000000068,1970,1,1,735.2057142857144,242.82843531027845,1129.05,589.86,1102.71,2,0,1,0
Central India,Storage,844.8,1072,118.27,99.809,2.14,119.33,1970-01-01 00:00:00.000000068,1970,1,1,718.9585714285714,228.79513299227406,490.43,958.53,597.55,2,0,1,0
West Europe,Storage,994.82,1263,139.27,99.646,2.12,119.49,1970-01-01 00:00:00.000000067,1970,1,1,788.0342857142857,228.63959607915262,844.8,511.29,979.71,2,0,1,0
Central India,Compute,503.82,639,282.14,99.787,2.23,123.21,1970-01-01 00:00:00.000000063,1970,1,1,742.51,251.24348389560274,994.82,822.49,503.19,3,0,1,0
Central India,Storage,825.39,1048,115.55,99.789,2.23,123.21,1970-01-01 00:00:00.000000063,1970,1,1,778.0742857142857,241.23841933221323,503.82,576.44,830.32,3,0,1,0
East US,Compute,659.53,837,369.34,99.96,2.1,121.49,1970-01-01 00:00:00.000000065,1970,1,1,778.262857142857,241.12959915878469,825.39,658.21,643.13,3,0,1,0
East US,Storage,1115.29,1416,156.14,99.568,2.1,121.49,1970-01-01 00:00:00.000000065,1970,1,1,776.2971428571428,237.82680278683796,659.53,1129.05,1126.46,3,0,1,0
West Europe,Compute,577.62,733,323.46,99.43,2.03,123.43,1970-01-01 00:00:00.000000067,1970,1,1,788.7528571428571,222.12462670869292,1115.29,490.43,589.86,3,0,1,0
West Europe,Storage,991.2,1258,138.77,99.766,2.03,123.43,1970-01-01 00:00:00.000000067,1970,1,1,809.6671428571428,234.8112045675763,577.62,844.8,958.53,3,0,1,0
East US,Compute,656.47,833,367.62,99.559,2.06,122.99,1970-01-01 00:00:00.000000060,1970,1,1,761.3314285714285,224.96340661157697,991.2,994.82,511.29,4,0,1,0
East US,Storage,1109.72,1409,155.36,99.81,2.06,122.99,1970-01-01 00:00:00.000000060,1970,1,1,847.8885714285715,225.93092376716754,656.47,503.82,822.49,4,0,1,0
West Europe,Compute,574.81,730,321.89,99.405,2.05,124.35,1970-01-01 00:00:00.000000062,1970,1,1,812.0914285714285,248.78517047368203,1109.72,825.39,576.44,4,0,1,0
West Europe,Storage,993.37,1261,139.07,99.428,2.05,124.35,1970-01-01 00:00:00.000000062,1970,1,1,859.7828571428572,246.6542758406514,574.81,659.53,658.21,4,0,1,0
